name,alias,id,review_count,rating,url,location,coordinates
Chela Modern Mexican,chela-modern-mexican-brooklyn,CfOBb6NU2awo8xclJpKU3g,476,4.5,https://www.yelp.com/biz/chela-modern-mexican-brooklyn?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11215'}","{'latitude': 40.67032, 'longitude': -73.98569}"
Piccoli Trattoria,piccoli-trattoria-brooklyn,XvEz60Y0NbLxooK9AmRU8g,489,4.5,https://www.yelp.com/biz/piccoli-trattoria-brooklyn?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11215'}","{'latitude': 40.665184, 'longitude': -73.98654}"
Krupa Grocery,krupa-grocery-brooklyn,AHB-e8F_dipajUaz_PJgDA,306,4.5,https://www.yelp.com/biz/krupa-grocery-brooklyn?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11215'}","{'latitude': 40.6598242, 'longitude': -73.980508}"
Brookvin,brookvin-brooklyn,KWIPsr4kQBLIpPTSwKTlig,299,4.0,https://www.yelp.com/biz/brookvin-brooklyn?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11215'}","{'latitude': 40.6652526855469, 'longitude': -73.9825668334961}"
Freddy's Bar,freddys-bar-brooklyn-2,HhXM_ZKngz5oY6Hhjo8MqA,219,4.5,https://www.yelp.com/biz/freddys-bar-brooklyn-2?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11215'}","{'latitude': 40.6631969, 'longitude': -73.991061}"
The Double Windsor,the-double-windsor-brooklyn,xd7ioU33jkwx0hQ3kUNIOg,425,4.0,https://www.yelp.com/biz/the-double-windsor-brooklyn?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11215'}","{'latitude': 40.66063, 'longitude': -73.98056}"
L'albero Dei Gelati,l-albero-dei-gelati-brooklyn-2,Q-yTbpW4vrq80oRW40W_Pg,271,4.5,https://www.yelp.com/biz/l-albero-dei-gelati-brooklyn-2?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11215'}","{'latitude': 40.671932, 'longitude': -73.9836569}"
Tambour,tambour-brooklyn-3,eT39RKlQ8i5Z4ml0ZwUK-Q,110,4.5,https://www.yelp.com/biz/tambour-brooklyn-3?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11215'}","{'latitude': 40.662504, 'longitude': -73.992533}"
Dram Shop,dram-shop-brooklyn,YBEjrVXSy8CDph7EBV5WJQ,567,4.0,https://www.yelp.com/biz/dram-shop-brooklyn?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11215'}","{'latitude': 40.668823, 'longitude': -73.985152}"
American Cheez,american-cheez-brooklyn,5sw5-TGb9_Bgdf6y8bpZSQ,114,4.5,https://www.yelp.com/biz/american-cheez-brooklyn?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11215'}","{'latitude': 40.6631983, 'longitude': -73.9846852}"
The Owl Farm,the-owl-farm-brooklyn,l_jZX0IQqHzCwC_7KcKS7A,195,4.5,https://www.yelp.com/biz/the-owl-farm-brooklyn?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11215'}","{'latitude': 40.669616, 'longitude': -73.986601}"
Sidecar,sidecar-brooklyn-3,zee3qxLz2jHJumDEL6EitA,452,3.5,https://www.yelp.com/biz/sidecar-brooklyn-3?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11215'}","{'latitude': 40.665421, 'longitude': -73.989748}"
Kick Axe Throwing,kick-axe-throwing-brooklyn-2,X0DNGKUQPjf0AfaXfXU2Qg,403,4.5,https://www.yelp.com/biz/kick-axe-throwing-brooklyn-2?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Brooklyn', 'postal_code': '11217'}","{'latitude': 40.6790268, 'longitude': -73.983077}"
