name,alias,id,review_count,rating,url,location,coordinates
Forest Hills Station House,forest-hills-station-house-forest-hills,NVp1S29NLR573Lc4ZvICKw,1113,4.0,https://www.yelp.com/biz/forest-hills-station-house-forest-hills?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Forest Hills', 'postal_code': '11375'}","{'latitude': 40.7200567, 'longitude': -73.8452604}"
Dinerbar,dinerbar-rego-park,AkRdoWYv2QmsXD9LSWl2zw,507,4.0,https://www.yelp.com/biz/dinerbar-rego-park?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Rego Park', 'postal_code': '11374'}","{'latitude': 40.72958, 'longitude': -73.85944}"
Sugar N Coal,sugar-n-coal-rego-park,MhBUK7K74bwIEebk_5ikhg,315,4.0,https://www.yelp.com/biz/sugar-n-coal-rego-park?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Rego Park', 'postal_code': '11374'}","{'latitude': 40.723274, 'longitude': -73.86837}"
London Lennie's,london-lennies-rego-park,_4Z3SqUupa6s1oOkLWYSww,636,3.5,https://www.yelp.com/biz/london-lennies-rego-park?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Rego Park', 'postal_code': '11374'}","{'latitude': 40.7219348, 'longitude': -73.8672914}"
Banter Irish Bar and Kitchen,banter-irish-bar-and-kitchen-forest-hills,6oQ8eDd5PCf5Jr17RflH_g,700,4.0,https://www.yelp.com/biz/banter-irish-bar-and-kitchen-forest-hills?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Forest Hills', 'postal_code': '11375'}","{'latitude': 40.7207875582084, 'longitude': -73.8434165698513}"
5 Burro Cafe,5-burro-cafe-forest-hills,j4dGkqL-OK9YH8Sl2eOWEg,1393,3.5,https://www.yelp.com/biz/5-burro-cafe-forest-hills?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Forest Hills', 'postal_code': '11375'}","{'latitude': 40.7192464187592, 'longitude': -73.8422552802263}"
Manor Oktoberfest,manor-oktoberfest-forest-hills-44,Fm1mE5Hf2k-yuzmFz98ufw,246,4.0,https://www.yelp.com/biz/manor-oktoberfest-forest-hills-44?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Forest Hills', 'postal_code': '11375'}","{'latitude': 40.7174275, 'longitude': -73.8569518}"
Dirty Pierre's,dirty-pierres-forest-hills-2,Oth2wFj3kjc8PvqVoXlBxg,430,4.0,https://www.yelp.com/biz/dirty-pierres-forest-hills-2?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Forest Hills', 'postal_code': '11375'}","{'latitude': 40.7192404279186, 'longitude': -73.8451040160002}"
Tropix Bar & Lounge,tropix-bar-and-lounge-rego-park,ANelFPxnfdT-7TIg_dAk5w,284,3.5,https://www.yelp.com/biz/tropix-bar-and-lounge-rego-park?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Rego Park', 'postal_code': '11374'}","{'latitude': 40.7302817861283, 'longitude': -73.8636975701552}"
Desert Rain Lounge,desert-rain-lounge-forest-hills,zPlYL0csMzHFYGMStr7IBw,227,4.5,https://www.yelp.com/biz/desert-rain-lounge-forest-hills?adjust_creative=bMPz0NoFK6qQZAimQncxVw&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=bMPz0NoFK6qQZAimQncxVw,"{'city': 'Forest Hills', 'postal_code': '11375'}","{'latitude': 40.7097624, 'longitude': -73.8450965}"
